0.000: Updated main state from mn_state.init_st to mn_state.wait_arm_st
0.000: Updated sensor control state from sn_state.init_st to sn_state.wait_enable_st
0.000: Selected reference trajectory: refData1.txt in controller.
0.000: Updated motor control state from mt_state.init_st to mt_state.wait_enable_st
0.000: Updated main state from mn_state.wait_arm_st to mn_state.arm_st
0.000: Updated sensor control state from sn_state.wait_enable_st to sn_state.pull_data_st
22.247: Sensor Data: t: 22.2468, h: 2570.66, V: 6.95148, a: -9.76616, theta: 0.1
22.410: Sensor Data: t: 22.4104, h: 2571.66, V: 5.35684, a: -9.7295, theta: 0.1
22.538: Sensor Data: t: 22.5385, h: 2572.26, V: 4.11373, a: -9.67167, theta: 0.1
22.689: Sensor Data: t: 22.6894, h: 2572.76, V: 2.66718, a: -9.49151, theta: 0.1
23.066: Updated motor control state from mt_state.move_motor_st to mt_state.check_diff_st
23.066: Updated main state from mn_state.wait_apogee_st to mn_state.retract_st
23.166: Sensor Data: t: 23.166, h: 2573.433, V: -1.267, a: -9.772, theta: 0.0
23.166: Updated main state from mn_state.retract_st to mn_state.descent_st
23.216: Updated motor control state from mt_state.check_diff_st to mt_state.wait_enable_st
23.666: Sensor Data: t: 23.666, h: 2571.58, V: -6.142, a: -9.714, theta: 0.0
24.425: Sensor Data: t: 24.425, h: 2564.268, V: -12.726, a: -7.587, theta: 0.0
28.548: Sensor Data: t: 28.548, h: 2483.322, V: -22.099, a: -0.224, theta: 0.0
33.548: Sensor Data: t: 33.548, h: 2372.48, V: -22.132, a: 0.026, theta: 0.0
38.548: Sensor Data: t: 38.548, h: 2262.145, V: -22.002, a: 0.026, theta: 0.0
43.548: Sensor Data: t: 43.548, h: 2152.459, V: -21.873, a: 0.026, theta: 0.0
48.548: Sensor Data: t: 48.548, h: 2043.402, V: -21.75, a: 0.024, theta: 0.0
53.548: Sensor Data: t: 53.548, h: 1934.9569999999999, V: -21.627, a: 0.026, theta: 0.0
58.548: Sensor Data: t: 58.548, h: 1827.1350000000002, V: -21.502, a: 0.024, theta: 0.0
63.548: Sensor Data: t: 63.548, h: 1719.929, V: -21.381, a: 0.024, theta: 0.0
68.548: Sensor Data: t: 68.548, h: 1613.3220000000001, V: -21.262, a: 0.024, theta: 0.0
73.548: Sensor Data: t: 73.548, h: 1507.3000000000002, V: -21.147, a: 0.021, theta: 0.0
78.548: Sensor Data: t: 78.548, h: 1401.851, V: -21.031, a: 0.023, theta: 0.0
83.548: Sensor Data: t: 83.548, h: 1296.987, V: -20.914, a: 0.022, theta: 0.0
88.548: Sensor Data: t: 88.548, h: 1192.698, V: -20.802, a: 0.022, theta: 0.0
93.548: Sensor Data: t: 93.548, h: 1088.966, V: -20.691, a: 0.023, theta: 0.0
98.548: Sensor Data: t: 98.548, h: 985.779, V: -20.584, a: 0.02, theta: 0.0
103.548: Sensor Data: t: 103.548, h: 883.1310000000001, V: -20.474, a: 0.021, theta: 0.0
108.548: Sensor Data: t: 108.548, h: 781.0319999999999, V: -20.365, a: 0.023, theta: 0.0
113.548: Sensor Data: t: 113.548, h: 679.4670000000001, V: -20.26, a: 0.021, theta: 0.0
118.548: Sensor Data: t: 118.548, h: 578.425, V: -20.157, a: 0.02, theta: 0.0
123.548: Sensor Data: t: 123.548, h: 477.8910000000001, V: -20.057, a: 0.02, theta: 0.0
128.548: Sensor Data: t: 128.548, h: 377.8689999999999, V: -19.953, a: 0.02, theta: 0.0
133.548: Sensor Data: t: 133.548, h: 278.35799999999995, V: -19.851, a: 0.02, theta: 0.0
138.548: Sensor Data: t: 138.548, h: 179.35000000000002, V: -19.752, a: 0.021, theta: 0.0
143.548: Sensor Data: t: 143.548, h: 80.832, V: -19.656, a: 0.019, theta: 0.0
148.548: Sensor Data: t: 148.548, h: 0.0356, V: -0.01589, a: 12.3658, theta: 0.0
149.048: Updated main state from mn_state.descent_st to mn_state.done_st
149.548: Updated sensor control state from sn_state.pull_data_st to sn_state.wait_enable_st
